v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,25643,0x365f00ba8c40,142,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,25715,0x365f00ba8d20,142,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,25787,0x365f00ba8e00,305,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,25861,0x365f00ba8f80,624,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,25932,0x365f00ba9240,150,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,26005,0x365f00ba9320,150,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,26078,0x365f00ba9400,309,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,26157,0x365f00ba9580,4108,FlattenIntoArray
code-creation,Builtin,3,26230,0x365f00baa5e0,4148,FlatMapIntoArray
code-creation,Builtin,3,26299,0x365f00bab660,15,ArrayBufferConstructor
code-creation,Builtin,3,26372,0x365f00bab6c0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,26443,0x365f00bab720,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,26539,0x365f00bab780,15,ArrayBufferIsView
code-creation,Builtin,3,26609,0x365f00bab7e0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,26681,0x365f00bab840,15,BigIntConstructor
code-creation,Builtin,3,26751,0x365f00bab8a0,15,BigIntAsUintN
code-creation,Builtin,3,26820,0x365f00bab900,15,BigIntAsIntN
code-creation,Builtin,3,26890,0x365f00bab960,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,26961,0x365f00bab9c0,15,BigIntPrototypeToString
code-creation,Builtin,3,27032,0x365f00baba20,15,BigIntPrototypeValueOf
code-creation,Builtin,3,27102,0x365f00baba80,15,BooleanConstructor
code-creation,Builtin,3,27172,0x365f00babae0,15,CallSitePrototypeGetColumnNumber
